topic,relatedness,text,date,group,likes,reposts,views
карельский язык,0.2964,Suuret passibot kabrastanduruavos!,2018-12-03 18:49:46,,90,1,2213
карельский язык,0.2962,"OLE OZAKAS, Karjalan Kielen Kodi.  Kaikil ruodail hyviä mieldy da parahii tuloksii.",2018-07-29 16:04:17,,11,0,524
карельский язык,0.2962,Andakkua pyydiä kalua syöndäh niškoih!,2019-06-10 22:25:29,,18,4,1108
карельский язык,0.296,Suojärven karjalaiset Карелы Суоярви https://karjalankieliruadajat.fi/,2019-04-04 11:49:05,,1,0,97
карельский язык,0.296,Suojärven karjalaiset Карелы Суоярви https://karjalankieliruadajat.fi/,2019-04-04 11:49:05,,1,0,98
карельский язык,0.2959,#karjalankielennedäli #karjalankielennetäli 🎬,2023-04-10 19:14:00,,2,1,227
карельский язык,0.2956,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Вепсский язык. Урок 7 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-02 18:43:00,,2,1,735
карельский язык,0.2955,pomorskibereg.ru/starejshij-kapitan-karelskogo-rybopromyslovogo-flota/,2012-09-06 15:28:24,,1,0,0
карельский язык,0.2954,#karjalankielennedäli #karjalankielennetäli 🙂🙂🙂,2024-04-20 12:00:15,,5,0,424
карельский язык,0.2953,#karjalankielennedäli #karjalankielennetäli ☑️,2022-04-15 10:57:40,,1,0,147
карельский язык,0.2952,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Вепсский язык. Урок 6 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-26 18:10:00,,1,2,748
карельский язык,0.295,Uvvessah Karjalan kielen kois kuuluu lapsien iäni.,2024-09-23 16:12:32,,58,2,905
карельский язык,0.295,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Вепсский язык. Урок 5 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-16 16:26:00,,4,0,543
карельский язык,0.2948,#karjalankielennedäli  #karjalankielennetäli,2022-04-19 14:33:35,,12,1,774
карельский язык,0.2948,"💡 #vepsänkel #вепсский_язык #карелия    Mam sötab lapsen nižal, ma leibäl / Мать кормит ребёнка грудью, а земля хлебом. (вепсская поговорка)",2021-05-16 08:44:00,,32,4,1836
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-17 12:04:14,,2,0,251
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-11 16:16:15,,2,1,232
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-17 11:05:00,,0,0,181
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-11 14:30:38,,1,0,249
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2020-11-11 18:02:02,,6,1,451
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2020-11-13 09:00:07,,5,0,678
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-11 17:30:26,,5,1,283
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-11 16:30:44,,2,0,203
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-14 10:30:21,,4,0,186
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2022-04-13 11:36:52,,5,0,176
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2023-04-05 10:02:33,,14,2,446
карельский язык,0.2948,#karjalankielennedäli #karjalankielennetäli,2024-04-14 19:36:05,,4,0,279
